num=500,forest-01,denseresidential-55,intersection-07,denseresidential-53,buildings-94,buildings-20,denseresidential-07,denseresidential-19,river-37,denseresidential-62,
buildings-20,0.674316,0.242828,0.193665,0.251709,0.227936,0.147263,0.167953,0.206909,0.242386,0.205856,
denseresidential-83,0.436752,0.319382,0.289032,0.342056,0.385254,0.287170,0.329117,0.346848,0.344040,0.324631,
intersection-37,0.550766,0.310226,0.287018,0.319504,0.307938,0.327576,0.321823,0.308273,0.299759,0.280426,
buildings-83,0.813248,0.429291,0.640137,0.419327,0.389221,0.371124,0.413177,0.381088,0.741348,0.463333,
river-88,0.182831,0.316025,0.180939,0.359268,0.228699,0.173126,0.177612,0.238098,0.344666,0.290512,
forest-20,0.601944,0.310318,0.327850,0.316330,0.354614,0.371964,0.400436,0.402740,0.475815,0.301788,
forest-67,0.223419,0.206757,0.182907,0.219101,0.277222,0.198868,0.197830,0.234024,0.156891,0.193939,
denseresidential-74,0.957184,0.328827,0.472321,0.327179,0.434250,0.507172,0.508621,0.400208,0.444519,0.350616,
river-82,0.751755,0.331131,0.233948,0.371201,0.193634,0.295303,0.283539,0.296829,0.376724,0.228470,
denseresidential-76,0.877029,0.284714,0.395172,0.276733,0.386047,0.396988,0.419846,0.355576,0.323151,0.290024,
intersection-39,0.729172,0.306625,0.338028,0.308609,0.325974,0.377029,0.373871,0.331573,0.316345,0.305954,
buildings-69,1.355850,0.464127,0.889282,0.470551,0.502991,0.819595,0.759079,0.529175,0.820892,0.713989,
denseresidential-89,1.104401,0.579407,0.229385,0.682190,0.177170,0.199509,0.169830,0.330017,0.642334,0.380280,
denseresidential-08,0.345337,0.313049,0.228058,0.337921,0.310150,0.224625,0.225159,0.262024,0.302658,0.276184,
buildings-42,0.956451,0.360779,0.341522,0.373337,0.316299,0.311844,0.331497,0.338791,0.415604,0.323563,
forest-50,0.136383,0.266022,0.162094,0.250366,0.280899,0.163635,0.158829,0.239578,0.158447,0.221649,
buildings-00,0.350327,0.255524,0.186920,0.268890,0.259201,0.178543,0.182922,0.211838,0.248062,0.223984,
denseresidential-20,0.871948,0.308441,0.331055,0.317398,0.317490,0.335495,0.333725,0.292542,0.324829,0.305267,
river-77,0.638275,0.863892,0.264282,0.938126,0.237274,0.222198,0.201614,0.343948,0.841599,0.733017,
buildings-14,0.347168,0.243256,0.173203,0.249054,0.241150,0.168961,0.173386,0.194458,0.230377,0.212631,
denseresidential-54,0.841400,0.345764,0.469162,0.344101,0.471848,0.493088,0.509018,0.419373,0.417496,0.361572,
intersection-07,0.274414,0.229568,0.150146,0.248734,0.231644,0.164719,0.166855,0.204269,0.203232,0.190659,
buildings-61,1.036713,0.284485,0.408859,0.267746,0.311249,0.443222,0.433960,0.317398,0.357117,0.310623,
buildings-78,0.770065,0.425797,0.290115,0.438644,0.262100,0.283478,0.259323,0.303574,0.475815,0.380005,
denseresidential-34,0.776779,0.461060,0.209412,0.535889,0.203537,0.202789,0.179062,0.281815,0.484818,0.300629,
denseresidential-44,0.860779,0.495071,0.425201,0.515625,0.305038,0.567474,0.442093,0.410995,0.659592,0.487335,
intersection-71,1.168625,0.452026,0.590668,0.443451,0.378189,0.841690,0.675262,0.568298,0.803802,0.469879,
forest-70,0.214508,0.259842,0.210052,0.267075,0.340805,0.210648,0.216095,0.256424,0.204590,0.238510,
denseresidential-97,1.128922,0.610718,0.290161,0.671402,0.188858,0.288956,0.264572,0.335907,0.646149,0.462418,
denseresidential-22,0.923218,0.348587,0.358597,0.362244,0.320145,0.368896,0.370163,0.306931,0.338593,0.352829,
intersection-12,0.287018,0.226807,0.177399,0.236923,0.261948,0.175491,0.182358,0.213516,0.208588,0.203079,
buildings-98,1.416626,0.569717,0.991257,0.509232,0.393890,0.690048,0.636429,0.505936,1.070129,0.689789,
forest-11,1.018311,0.374893,0.483322,0.357956,0.334198,0.801498,0.580750,0.481445,0.716827,0.349274,
forest-69,0.192886,0.255600,0.199142,0.266586,0.325623,0.202667,0.204895,0.244339,0.198700,0.240082,
intersection-75,1.182236,0.444000,0.580627,0.412750,0.339066,0.927094,0.691040,0.549881,0.806183,0.463959,
buildings-48,0.973877,0.354828,0.332275,0.355728,0.290436,0.309784,0.324997,0.297684,0.352524,0.361099,
river-21,0.663940,0.297379,0.236603,0.336960,0.220139,0.305145,0.280029,0.323166,0.465271,0.211197,
buildings-71,0.690643,0.333237,0.400635,0.357010,0.333115,0.521454,0.483032,0.414764,0.597549,0.359741,
intersection-65,1.030060,0.322495,0.490662,0.331650,0.416351,0.503525,0.514465,0.414368,0.532959,0.355255,
intersection-04,0.457108,0.278564,0.197556,0.300156,0.256271,0.191757,0.190048,0.236603,0.250397,0.224655,
denseresidential-02,0.732224,0.390335,0.254654,0.432770,0.260803,0.228333,0.227341,0.301422,0.430557,0.319443,
buildings-66,0.872482,0.294998,0.423126,0.292572,0.377075,0.443756,0.428329,0.328232,0.373993,0.326370,
river-94,0.190247,0.197952,0.141449,0.217621,0.244720,0.155472,0.156174,0.204102,0.141739,0.188721,
river-76,0.586319,0.348389,0.291656,0.417892,0.221359,0.532120,0.418457,0.511490,0.733017,0.259842,
river-38,0.377518,0.221405,0.210678,0.227264,0.285873,0.216675,0.219223,0.235535,0.185349,0.200607,
river-68,1.021881,0.416306,0.223785,0.528595,0.189316,0.251282,0.230682,0.360413,0.563705,0.224457,
denseresidential-09,0.374252,0.315857,0.233612,0.341095,0.309128,0.225449,0.227280,0.263977,0.309875,0.279907,
intersection-53,0.723419,0.548340,0.182709,0.738190,0.176651,0.212067,0.169235,0.359192,0.596985,0.220612,
river-49,0.349579,0.201553,0.188599,0.202408,0.262222,0.198303,0.200577,0.206879,0.168594,0.178604,
intersection-93,0.919403,0.558823,0.209900,0.700302,0.176331,0.210419,0.181931,0.337921,0.586105,0.295029,
intersection-55,0.740005,0.533310,0.172211,0.725281,0.166763,0.185135,0.150589,0.343323,0.565094,0.208740,
intersection-47,0.773972,0.570724,0.183746,0.743210,0.166046,0.192047,0.160110,0.338593,0.586975,0.264435,
intersection-01,0.456573,0.302383,0.229095,0.329147,0.261597,0.229141,0.228592,0.261856,0.332870,0.260468,
river-31,0.992233,0.613800,0.232269,0.753250,0.204071,0.214020,0.180099,0.362671,0.621826,0.353470,
intersection-11,0.392471,0.209381,0.179306,0.217163,0.251007,0.164474,0.180939,0.203796,0.213394,0.189468,
intersection-45,0.480347,0.291733,0.243820,0.300232,0.279633,0.272034,0.266708,0.266220,0.264969,0.265945,
river-95,0.142700,0.167435,0.110443,0.184143,0.210693,0.123734,0.124161,0.183945,0.107330,0.159164,
forest-96,0.246872,0.280869,0.247910,0.277893,0.402145,0.220001,0.257019,0.277328,0.272232,0.246002,
river-34,0.428894,0.248032,0.255356,0.250473,0.336700,0.256790,0.256470,0.257385,0.213715,0.224060,
denseresidential-93,0.954193,0.629486,0.238968,0.755798,0.212234,0.227783,0.195847,0.364899,0.631897,0.381042,
river-40,0.363937,0.210968,0.203232,0.211319,0.275787,0.206177,0.211685,0.215057,0.181488,0.191162,
river-67,0.428284,0.348862,0.276001,0.351532,0.350250,0.283401,0.282776,0.318359,0.291260,0.312531,
river-74,1.353119,0.344986,0.260864,0.390610,0.187332,0.342361,0.285858,0.357681,0.582977,0.229935,
intersection-86,0.805786,0.530762,0.166107,0.715836,0.158844,0.172211,0.139282,0.337692,0.553101,0.197708,
forest-00,0.161926,0.240128,0.220612,0.252823,0.285400,0.176605,0.216278,0.228745,0.368546,0.243668,
river-55,0.350983,0.414764,0.349777,0.452286,0.448441,0.357071,0.347610,0.352448,0.353897,0.411285,
forest-58,0.235245,0.285385,0.248032,0.279755,0.377472,0.239059,0.246048,0.285080,0.229691,0.246994,
forest-99,0.266037,0.292969,0.258209,0.293793,0.396210,0.242386,0.272705,0.285858,0.287689,0.271896,
denseresidential-68,0.819473,0.303879,0.405243,0.301025,0.406082,0.407944,0.412231,0.354416,0.352127,0.308640,
intersection-57,1.014450,0.433289,0.449356,0.413055,0.255920,0.657928,0.498352,0.406662,0.630386,0.421661,
buildings-47,0.703583,0.309982,0.264603,0.328842,0.294052,0.232071,0.252930,0.277069,0.324783,0.296814,
denseresidential-64,0.765121,0.293564,0.358307,0.290314,0.389404,0.338150,0.352112,0.325455,0.305664,0.281158,
river-87,0.177521,0.388611,0.175888,0.430603,0.218582,0.162323,0.165024,0.236588,0.402634,0.359116,
forest-86,0.246948,0.274246,0.236801,0.276031,0.378235,0.222549,0.246643,0.274994,0.246506,0.248581,
river-03,0.694336,0.334473,0.364700,0.346970,0.321457,0.469345,0.433258,0.435623,0.582703,0.318649,
intersection-05,0.329361,0.206924,0.171326,0.207001,0.247620,0.160309,0.171326,0.190109,0.195068,0.181519,
buildings-53,0.837646,0.292419,0.388428,0.292694,0.377197,0.396362,0.391785,0.322617,0.349579,0.302338,
forest-64,0.405869,0.254486,0.249481,0.268295,0.317398,0.329865,0.339035,0.339142,0.304718,0.249374,
buildings-02,0.696396,0.313721,0.384369,0.296371,0.258926,0.192627,0.222580,0.242661,0.420959,0.285873,
intersection-98,1.174057,0.459747,0.318314,0.509827,0.207993,0.363419,0.318436,0.361374,0.593536,0.351089,
river-00,0.727554,0.324997,0.340652,0.335022,0.306946,0.455124,0.404968,0.398895,0.520218,0.290421,
denseresidential-82,0.452530,0.319717,0.291260,0.339737,0.382797,0.286072,0.326981,0.349228,0.343750,0.323639,
denseresidential-91,0.979279,0.573181,0.205856,0.715164,0.169540,0.185425,0.155899,0.340668,0.608093,0.303650,
denseresidential-40,0.897156,0.429886,0.435959,0.459747,0.363510,0.537231,0.474747,0.445114,0.600784,0.392670,
buildings-99,1.348312,0.500854,0.860245,0.454910,0.349228,0.514236,0.512085,0.438919,0.951096,0.567703,
river-78,0.695450,0.859299,0.267303,0.915237,0.231522,0.220932,0.200653,0.336609,0.850769,0.757187,
buildings-25,1.281189,0.460632,0.649002,0.437302,0.348862,1.018509,0.705063,0.607025,1.038788,0.464676,
river-22,0.369095,0.286301,0.255203,0.308792,0.296829,0.310776,0.311310,0.321930,0.377701,0.278778,
forest-10,0.797455,0.351715,0.441895,0.354904,0.342651,0.710693,0.570206,0.546432,0.761627,0.341263,
intersection-15,0.310379,0.210205,0.158722,0.214447,0.244064,0.154861,0.160461,0.184189,0.197906,0.177872,
forest-65,0.283768,0.255569,0.222870,0.272766,0.323990,0.235001,0.237579,0.256546,0.211212,0.237671,
buildings-31,1.073853,0.324799,0.415436,0.326126,0.334656,0.419220,0.412308,0.327057,0.357605,0.349533,
denseresidential-78,0.790634,0.319077,0.426041,0.313477,0.449631,0.434097,0.462845,0.398743,0.357605,0.324158,
buildings-08,0.500656,0.247467,0.205612,0.259521,0.250473,0.176758,0.191437,0.215561,0.270233,0.229614,
denseresidential-84,1.161011,0.443527,0.452606,0.428223,0.204102,0.454361,0.410172,0.383301,0.660614,0.445084,
river-13,0.889847,0.316055,0.338821,0.330215,0.273972,0.413849,0.375519,0.402817,0.582977,0.276428,
denseresidential-31,1.012680,0.347275,0.305832,0.371124,0.273727,0.311935,0.300308,0.303452,0.403900,0.285355,
forest-45,0.164780,0.258377,0.189789,0.248978,0.314911,0.185806,0.184906,0.246399,0.179596,0.216354,
denseresidential-96,1.106232,0.672241,0.331772,0.721924,0.217468,0.340820,0.320389,0.358200,0.679337,0.551315,
denseresidential-41,0.862305,0.621353,0.372192,0.657913,0.268799,0.483566,0.403412,0.426910,0.751038,0.553421,
buildings-43,0.766510,0.243225,0.245453,0.242432,0.266266,0.218674,0.231827,0.244064,0.237259,0.226608,
river-90,0.168350,0.311844,0.181839,0.346405,0.231445,0.171463,0.176559,0.228653,0.339661,0.310699,
intersection-99,1.080551,0.454437,0.306061,0.525299,0.210297,0.394974,0.333328,0.399979,0.638550,0.324829,
river-98,0.147736,0.215179,0.140182,0.214493,0.255798,0.149628,0.149948,0.218033,0.136948,0.189056,
river-70,1.262024,0.402863,0.225555,0.494431,0.169952,0.235138,0.213745,0.340576,0.565125,0.232590,
intersection-30,1.013474,0.375809,0.439407,0.376846,0.332886,0.652573,0.534256,0.487213,0.691208,0.347595,
denseresidential-67,0.610519,0.292862,0.374298,0.289795,0.402420,0.390564,0.399323,0.350815,0.339340,0.292999,
intersection-69,0.821304,0.268463,0.350662,0.267380,0.345261,0.353668,0.366318,0.321533,0.335663,0.270004,
river-69,0.938766,0.445541,0.229370,0.574371,0.198669,0.270844,0.243027,0.376709,0.573212,0.237854,
denseresidential-05,0.452805,0.275040,0.185379,0.295074,0.243378,0.169785,0.168594,0.211075,0.262192,0.240280,
river-33,1.003159,0.589722,0.246902,0.722900,0.219376,0.238663,0.212723,0.371002,0.590607,0.333725,
river-61,0.379532,0.364822,0.302490,0.392700,0.404083,0.305344,0.308136,0.321106,0.338669,0.335373,
denseresidential-24,0.829544,0.364410,0.352432,0.402267,0.346695,0.353867,0.341064,0.318054,0.396484,0.349701,
river-32,1.107132,0.553787,0.224564,0.680450,0.185226,0.203110,0.175491,0.344772,0.589600,0.301346,
forest-88,0.255600,0.295029,0.257034,0.302246,0.383423,0.251114,0.268417,0.281143,0.287582,0.284592,
intersection-64,1.175583,0.304031,0.481781,0.300034,0.375244,0.505249,0.492203,0.358459,0.406723,0.350815,
forest-62,0.683395,0.293594,0.327637,0.289032,0.373749,0.278961,0.415283,0.429733,0.593445,0.262024,
forest-57,0.298691,0.275986,0.259018,0.276733,0.379776,0.257309,0.270721,0.300659,0.240479,0.247025,
denseresidential-04,0.773041,0.372803,0.250092,0.410294,0.264175,0.229782,0.230240,0.295395,0.431595,0.309723,
buildings-49,1.020767,0.248764,0.295776,0.239334,0.283936,0.246552,0.292206,0.287643,0.279129,0.241837,
river-54,0.386032,0.439514,0.377640,0.492081,0.472778,0.379822,0.374466,0.375885,0.393936,0.461060,
forest-63,0.401993,0.244293,0.234085,0.256073,0.307800,0.313751,0.325821,0.341843,0.298920,0.233978,
forest-89,0.208023,0.262375,0.210281,0.273422,0.339386,0.211960,0.218079,0.251404,0.215164,0.247543,
buildings-88,1.107925,0.503387,0.310852,0.575592,0.210449,0.347122,0.295639,0.358795,0.618454,0.364334,
denseresidential-35,1.111542,0.564621,0.276627,0.654938,0.193024,0.289963,0.267944,0.346695,0.570679,0.367630,
intersection-34,0.693222,0.305832,0.306931,0.309677,0.295715,0.332291,0.326569,0.295578,0.289520,0.300156,
forest-49,0.137344,0.246918,0.156052,0.236557,0.271866,0.159912,0.155655,0.229523,0.151901,0.207169,
river-16,0.600662,0.290619,0.275558,0.318451,0.260788,0.366959,0.346497,0.385452,0.504715,0.243866,
buildings-74,1.024033,0.521378,0.758804,0.498367,0.381638,0.446701,0.452530,0.398468,0.861404,0.537872,
denseresidential-69,0.465897,0.292923,0.334061,0.291458,0.406982,0.358673,0.366043,0.320541,0.286377,0.280197,
intersection-85,1.152832,0.404099,0.459625,0.328476,0.236206,1.050049,0.612610,0.413177,0.656219,0.346329,
buildings-96,1.284515,0.351135,0.404129,0.350098,0.255844,0.446396,0.430481,0.327332,0.438522,0.352829,
river-37,0.371872,0.228073,0.217148,0.234222,0.291809,0.227997,0.228775,0.242310,0.184860,0.209824,
forest-44,0.178680,0.248535,0.202591,0.245453,0.331940,0.191605,0.195923,0.245926,0.192566,0.209946,
denseresidential-42,0.925903,0.506699,0.321259,0.587769,0.263855,0.383102,0.317841,0.369492,0.602982,0.401917,
forest-87,0.250015,0.292175,0.255051,0.299637,0.381042,0.247711,0.264694,0.278412,0.287537,0.280167,
buildings-27,1.110001,0.391678,0.383987,0.408539,0.255203,0.394165,0.352631,0.361603,0.569962,0.348007,
buildings-84,1.087646,0.537918,0.567459,0.570953,0.433243,0.479004,0.471344,0.456116,0.679810,0.579300,
river-66,0.437469,0.401123,0.305237,0.422394,0.385971,0.322083,0.317261,0.352432,0.332565,0.366318,
river-18,0.491577,0.246994,0.219376,0.266342,0.233032,0.295715,0.279083,0.310349,0.408661,0.203262,
intersection-89,0.929153,0.555969,0.203796,0.704620,0.176025,0.197586,0.163788,0.340469,0.604126,0.287170,
forest-12,1.178223,0.388138,0.478958,0.349106,0.282730,0.883530,0.573288,0.447693,0.689468,0.345367,
river-53,0.436279,0.395447,0.370804,0.411514,0.469955,0.372757,0.377792,0.375168,0.373184,0.390854,
forest-82,0.267899,0.289841,0.252304,0.289032,0.395218,0.236908,0.263367,0.289078,0.259171,0.262344,
buildings-95,1.046631,0.394882,0.327881,0.425522,0.205734,0.328629,0.313095,0.343124,0.585754,0.349274,
intersection-88,0.946503,0.568893,0.224762,0.697662,0.168839,0.235718,0.209381,0.331329,0.582260,0.327637,
intersection-49,1.163788,0.498276,0.420563,0.529510,0.255035,0.504852,0.431122,0.432144,0.674423,0.438049,
denseresidential-16,1.073410,0.393585,0.391281,0.383392,0.274216,0.417023,0.413544,0.315613,0.399261,0.377747,
buildings-68,1.248444,0.242020,0.359665,0.242752,0.325668,0.348785,0.373062,0.321457,0.342041,0.260315,
river-25,0.536438,0.275238,0.288300,0.289276,0.305557,0.396988,0.385574,0.400848,0.470306,0.271591,
river-96,0.202393,0.286575,0.184830,0.280518,0.292252,0.185547,0.186371,0.255157,0.207153,0.247391,
forest-18,0.809357,0.345612,0.413147,0.349503,0.337448,0.528320,0.482727,0.466217,0.659637,0.324707,
intersection-29,0.905670,0.362869,0.436981,0.367111,0.367981,0.579727,0.541550,0.489990,0.687088,0.349655,
denseresidential-60,0.848221,0.335464,0.467255,0.335052,0.458878,0.491821,0.510056,0.412827,0.461334,0.352051,
intersection-73,0.875244,0.450150,0.372604,0.517548,0.302765,0.467972,0.424515,0.436554,0.582352,0.341248,
intersection-14,0.273422,0.217590,0.169220,0.226242,0.254974,0.164825,0.175308,0.206482,0.207672,0.186935,
buildings-75,1.043427,0.413544,0.487244,0.447495,0.333603,0.449600,0.433243,0.396317,0.617050,0.402863,
denseresidential-51,0.838593,0.314682,0.418365,0.316696,0.444168,0.449768,0.477295,0.397308,0.363480,0.328278,
buildings-93,1.251160,0.256790,0.263580,0.265442,0.225418,0.212112,0.234772,0.248688,0.274887,0.249451,
denseresidential-18,0.853424,0.396683,0.353500,0.418777,0.328308,0.371246,0.352707,0.331009,0.404480,0.387192,
river-91,0.182251,0.236465,0.182434,0.246902,0.311813,0.171967,0.183273,0.233383,0.196960,0.206177,
intersection-87,0.810181,0.529114,0.170029,0.708099,0.160095,0.170380,0.138412,0.335175,0.564484,0.214539,
intersection-10,0.313522,0.225098,0.175232,0.242462,0.248093,0.174545,0.180984,0.218552,0.207474,0.204132,
denseresidential-92,0.893188,0.621262,0.220566,0.755951,0.200897,0.206375,0.177124,0.350342,0.636658,0.371811,
denseresidential-95,1.343140,0.537994,0.349228,0.560516,0.211411,0.390533,0.365372,0.355087,0.564560,0.424530,
buildings-54,1.088303,0.300659,0.454208,0.301346,0.407654,0.463455,0.478409,0.369614,0.409286,0.328125,
river-19,0.422058,0.212906,0.209457,0.215698,0.244064,0.284363,0.272812,0.290710,0.373474,0.190460,
